College ID,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,State,College Type,Management Type,Expected Salary,Salary Tier,Entrance Test
U-0899,Indian Institute Of Technology Dharwad,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2046,2046,Karnataka,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1011879,1,JEE Advanced
U-0334,Visvesvaraya National Institute Of Technology Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,1674,2049,Maharashtra,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,836948,1,JEE Main
U-0701,Indian Institute Of Technology (Banaras Hindu University) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1683,2050,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1533760,1,JEE Advanced
U-0530,Motilal Nehru National Institute Of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1111,2050,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1136400,1,JEE Main
U-0207,National Institute Of Technology Jamshedpur,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,1535,2050,Jharkhand,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,950000,1,JEE Main
U-0517,Indian Institute Of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,1258,2051,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0100,Indian Institute Of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,1424,2054,Delhi,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2050000,1,JEE Advanced
U-0357,National Institute Of Technology Rourkela,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2054,2054,Odisha,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,918200,1,JEE Main
U-0357,National Institute Of Technology Rourkela,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,631,2055,Odisha,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,918200,1,JEE Main
U-0801,Indian Institute Of Information Technology Lucknow,"Information Technology (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1786,2055,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,0,4,JEE Main
U-0530,Motilal Nehru National Institute Of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2056,2056,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1136400,1,JEE Main
U-0584,Indian Institute Of Engineering Science and Technology Shibpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1787,2056,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,704961,1,JEE Main
U-0573,Indian Institute Of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1657,2057,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1767753,1,JEE Advanced
U-0573,Indian Institute Of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1877,2058,West Bengal,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1767753,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1402,2058,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
U-0560,Indian Institute Of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1588,2059,Uttarakhand,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1700000,1,JEE Advanced
U-0139,Indian Institute Of Technology Gandhinagar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,1998,2060,Gujarat,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,990908,1,JEE Advanced
U-0207,National Institute Of Technology Jamshedpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1479,2060,Jharkhand,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,950000,1,JEE Main
U-0172,National Institute Of Technology Kurukshetra,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1805,2060,Haryana,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,1011890,1,JEE Main
U-0053,Indian Institute Of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1839,2061,Assam,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2164500,1,JEE Advanced
U-0517,Indian Institute Of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1635,2062,Uttar Pradesh,IIT/NIT/IIIT,IIT/NIT/IIIT - Government Funded Technical Institute,2192875,1,JEE Advanced
